#TYPE System.Management.Automation.PSCustomObject,,,
URL,Status,DateAdded,Notes
213.174.143.196,Bad,7/25/2015,
213.174.55.35,Bad,7/25/2015,
213.175.208.130,Bad,7/25/2015,
213.186.33.17,Bad,7/25/2015,
213.205.40.169,Bad,7/25/2015,
213.215.240.24,Bad,7/25/2015,
213.227.207.89,Bad,7/25/2015,
213.230.203.86,Bad,7/25/2015,
213.252.116.180,Bad,7/25/2015,
213.81.152.60,Bad,7/25/2015,
216.104.172.64,Bad,7/25/2015,
216.108.235.94,Bad,7/25/2015,
216.150.65.17,Bad,7/25/2015,
216.157.140.192,Bad,7/25/2015,
216.157.140.193,Bad,7/25/2015,
216.157.147.69,Bad,7/25/2015,
216.157.150.128,Bad,7/25/2015,
216.157.150.192,Bad,7/25/2015,
216.172.162.2,Bad,7/25/2015,
216.172.175.192,Bad,7/25/2015,
216.177.137.23,Bad,7/25/2015,
216.18.228.149,Bad,7/25/2015,
216.194.70.11,Bad,7/25/2015,
216.230.250.84,Bad,7/25/2015,
216.236.255.10,Bad,7/25/2015,
216.239.138.159,Bad,7/25/2015,
216.239.138.166,Bad,7/25/2015,
216.240.140.201,Bad,7/25/2015,
216.245.192.62,Bad,7/25/2015,
216.245.193.34,Bad,7/25/2015,
216.245.193.72,Bad,7/25/2015,
216.45.58.150,Bad,7/25/2015,
216.52.115.50,Bad,7/25/2015,
216.8.179.24,Bad,7/25/2015,
216.81.64.192,Bad,7/25/2015,
216.81.64.64,Bad,7/25/2015,
216.81.75.128,Bad,7/25/2015,
216.97.231.190,Bad,7/25/2015,
217.112.35.90,Bad,7/25/2015,
217.119.57.22,Bad,7/25/2015,
217.13.199.34,Bad,7/25/2015,
217.199.169.221,Bad,7/25/2015,
217.20.163.61,Bad,7/25/2015,
217.23.6.17,Bad,7/25/2015,
217.26.70.72,Bad,7/25/2015,
217.26.70.76,Bad,7/25/2015,
217.30.180.48,Bad,7/25/2015,
217.31.49.10,Bad,7/25/2015,
217.74.66.183,Bad,7/25/2015,
217.8.253.250,Bad,7/25/2015,
218.239.223.225,Bad,7/25/2015,
218.25.203.5,Bad,7/25/2015,
218.38.136.45,Bad,7/25/2015,
218.38.243.71,Bad,7/25/2015,
218.5.79.63,Bad,7/25/2015,
219.148.34.9,Bad,7/25/2015,
219.255.13.77,Bad,7/25/2015,
219.94.194.138,Bad,7/25/2015,
220.110.138.52,Bad,7/25/2015,
220.128.152.141,Bad,7/25/2015,
221.192.214.66,Bad,7/25/2015,
221.238.195.108,Bad,7/25/2015,
222.122.20.235,Bad,7/25/2015,
222.122.39.45,Bad,7/25/2015,
222.222.204.67,Bad,7/25/2015,
222.222.204.68,Bad,7/25/2015,
222.236.47.205,Bad,7/25/2015,
222.24.94.19,Bad,7/25/2015,
222.73.178.11,Bad,7/25/2015,
222.73.178.224,Bad,7/25/2015,
222.76.215.12,Bad,7/25/2015,
24.111.157.113,Bad,7/25/2015,
31.170.163.144,Bad,7/25/2015,
31.170.163.147,Bad,7/25/2015,
31.186.102.156,Bad,7/25/2015,
31.186.102.170,Bad,7/25/2015,
37.139.51.136,Bad,7/25/2015,
37.140.193.24,Bad,7/25/2015,
37.221.170.88,Bad,7/25/2015,
37.230.116.138,Bad,7/25/2015,
37.59.180.17,Bad,7/25/2015,
37.59.252.27,Bad,7/25/2015,
37.59.35.108,Bad,7/25/2015,
37.9.49.10,Bad,7/25/2015,
37.9.61.10,Bad,7/25/2015,
38.113.1.102,Bad,7/25/2015,
38.114.196.226,Bad,7/25/2015,
4.59.56.18,Bad,7/25/2015,
41.223.53.147,Bad,7/25/2015,
41.72.150.100,Bad,7/25/2015,
46.16.240.18,Bad,7/25/2015,
46.163.117.144,Bad,7/25/2015,
46.163.79.209,Bad,7/25/2015,
46.166.131.252,Bad,7/25/2015,
46.166.146.110,Bad,7/25/2015,
46.166.147.133,Bad,7/25/2015,
46.166.178.130,Bad,7/25/2015,
46.17.101.2,Bad,7/25/2015,
46.17.102.124,Bad,7/25/2015,
46.175.224.21,Bad,7/25/2015,
46.21.144.134,Bad,7/25/2015,
46.21.169.41,Bad,7/25/2015,
46.244.13.6,Bad,7/25/2015,
46.249.38.27,Bad,7/25/2015,
46.254.20.77,Bad,7/25/2015,
46.28.71.26,Bad,7/25/2015,
46.4.198.164,Bad,7/25/2015,
46.4.77.145,Bad,7/25/2015,
5.135.115.100,Bad,7/25/2015,
5.135.115.193,Bad,7/25/2015,
5.135.115.194,Bad,7/25/2015,
5.135.115.195,Bad,7/25/2015,
5.135.115.196,Bad,7/25/2015,
5.135.115.197,Bad,7/25/2015,
5.135.115.198,Bad,7/25/2015,
5.135.115.199,Bad,7/25/2015,
5.135.115.201,Bad,7/25/2015,
5.135.115.202,Bad,7/25/2015,
5.135.115.203,Bad,7/25/2015,
5.135.115.204,Bad,7/25/2015,
5.135.115.205,Bad,7/25/2015,
5.135.115.206,Bad,7/25/2015,
5.135.115.207,Bad,7/25/2015,
5.135.115.208,Bad,7/25/2015,
5.135.115.209,Bad,7/25/2015,
5.135.115.210,Bad,7/25/2015,
5.135.115.211,Bad,7/25/2015,
5.135.115.212,Bad,7/25/2015,
5.135.115.213,Bad,7/25/2015,
5.135.115.214,Bad,7/25/2015,
5.135.115.215,Bad,7/25/2015,
5.135.115.216,Bad,7/25/2015,
5.135.115.217,Bad,7/25/2015,
5.135.115.218,Bad,7/25/2015,
5.135.115.219,Bad,7/25/2015,
5.135.115.220,Bad,7/25/2015,
5.135.115.221,Bad,7/25/2015,
5.135.115.222,Bad,7/25/2015,
5.135.239.104,Bad,7/25/2015,
5.199.174.114,Bad,7/25/2015,
5.199.175.38,Bad,7/25/2015,
5.199.175.50,Bad,7/25/2015,
50.17.107.125,Bad,7/25/2015,
50.17.189.198,Bad,7/25/2015,
50.22.0.2,Bad,7/25/2015,
50.22.112.155,Bad,7/25/2015,
50.22.112.76,Bad,7/25/2015,
50.22.86.10,Bad,7/25/2015,
50.22.99.99,Bad,7/25/2015,
50.28.1.14,Bad,7/25/2015,
50.31.1.104,Bad,7/25/2015,
50.61.155.86,Bad,7/25/2015,
50.63.137.176,Bad,7/25/2015,
50.63.75.1,Bad,7/25/2015,
58.215.240.96,Bad,7/25/2015,
58.221.42.63,Bad,7/25/2015,
58.251.60.155,Bad,7/25/2015,
58.30.227.232,Bad,7/25/2015,
58.55.127.16,Bad,7/25/2015,
58.68.149.191,Bad,7/25/2015,
58.68.149.192,Bad,7/25/2015,
59.57.247.185,Bad,7/25/2015,
60.191.134.142,Bad,7/25/2015,
61.139.126.15,Bad,7/25/2015,
61.147.75.89,Bad,7/25/2015,
61.178.85.177,Bad,7/25/2015,
61.19.251.27,Bad,7/25/2015,
61.57.227.5,Bad,7/25/2015,
61.63.123.44,Bad,7/25/2015,
62.109.24.128,Bad,7/25/2015,
62.109.24.131,Bad,7/25/2015,
62.109.24.147,Bad,7/25/2015,
62.109.24.201,Bad,7/25/2015,
62.109.29.101,Bad,7/25/2015,
62.116.167.8,Bad,7/25/2015,
62.122.75.237,Bad,7/25/2015,
62.128.158.240,Bad,7/25/2015,
62.149.12.191,Bad,7/25/2015,
62.149.128.72,Bad,7/25/2015,
62.149.131.197,Bad,7/25/2015,
62.149.133.98,Bad,7/25/2015,
62.149.140.107,Bad,7/25/2015,
62.149.140.163,Bad,7/25/2015,
62.149.208.192,Bad,7/25/2015,
62.211.68.12,Bad,7/25/2015,
62.211.68.58,Bad,7/25/2015,
62.213.74.8,Bad,7/25/2015,
62.219.84.213,Bad,7/25/2015,
62.221.194.25,Bad,7/25/2015,
62.48.33.13,Bad,7/25/2015,
62.75.152.79,Bad,7/25/2015,
62.76.186.215,Bad,7/25/2015,
62.76.187.148,Bad,7/25/2015,
62.76.187.24,Bad,7/25/2015,
62.76.45.223,Bad,7/25/2015,
62.76.47.12,Bad,7/25/2015,
62.85.27.129,Bad,7/25/2015,
63.141.249.227,Bad,7/25/2015,
63.217.31.51,Bad,7/25/2015,
63.227.18.137,Bad,7/25/2015,
63.251.171.80,Bad,7/25/2015,
63.90.228.36,Bad,7/25/2015,
64.111.196.119,Bad,7/25/2015,
64.120.193.178,Bad,7/25/2015,
64.13.192.177,Bad,7/25/2015,
64.13.232.143,Bad,7/25/2015,
64.186.133.109,Bad,7/25/2015,
64.191.16.37,Bad,7/25/2015,
64.191.90.213,Bad,7/25/2015,
64.202.107.23,Bad,7/25/2015,
64.202.124.84,Bad,7/25/2015,
64.22.106.116,Bad,7/25/2015,
64.247.176.25,Bad,7/25/2015,
64.247.183.126,Bad,7/25/2015,
64.247.191.170,Bad,7/25/2015,
64.250.114.5,Bad,7/25/2015,
64.250.120.102,Bad,7/25/2015,
64.40.123.35,Bad,7/25/2015,
64.49.219.213,Bad,7/25/2015,
64.49.219.215,Bad,7/25/2015,
64.6.241.13,Bad,7/25/2015,
64.6.241.20,Bad,7/25/2015,
64.6.241.22,Bad,7/25/2015,
64.6.241.8,Bad,7/25/2015,
64.70.19.33,Bad,7/25/2015,
64.71.180.16,Bad,7/25/2015,
64.71.34.124,Bad,7/25/2015,
64.8.123.110,Bad,7/25/2015,
64.94.137.105,Bad,7/25/2015,
64.94.37.195,Bad,7/25/2015,
65.254.248.196,Bad,7/25/2015,
65.254.250.102,Bad,7/25/2015,
65.60.44.202,Bad,7/25/2015,
65.61.216.193,Bad,7/25/2015,
65.75.138.206,Bad,7/25/2015,
65.75.149.60,Bad,7/25/2015,
65.75.162.20,Bad,7/25/2015,
65.75.179.214,Bad,7/25/2015,
65.75.185.235,Bad,7/25/2015,
66.117.3.211,Bad,7/25/2015,
66.118.146.69,Bad,7/25/2015,
66.128.53.59,Bad,7/25/2015,
